total,lvl1,lvl2,lvl3,total gold,sallary,income,months,income per month
40,10,20,10,150000,75292,74708,26,2873,
50,10,20,20,150000,116943,33057,34,972,
60,10,20,30,150000,102220,47780,25,1911,
70,10,20,40,150000,132641,17359,28,619,
80,10,20,50,150000,137618,12382,26,476,
90,10,20,60,150000,145899,4101,25,164,
100,10,20,70,150000,177344,-27344,27,-1012,
110,10,20,80,150000,200270,-50270,28,-1795,
120,10,20,90,150000,254372,-104372,33,-3162,
130,10,20,100,150000,223655,-73655,27,-2727,
50,10,30,10,150000,80294,69706,21,3319,
60,10,30,20,150000,90860,59140,20,2957,
70,10,30,30,150000,77000,73000,15,4866,
80,10,30,40,150000,114436,35564,20,1778,
90,10,30,50,150000,114855,35145,18,1952,
100,10,30,60,150000,133824,16176,19,851,
110,10,30,70,150000,132756,17244,17,1014,
120,10,30,80,150000,152880,-2880,19,-151,
130,10,30,90,150000,156692,-6692,18,-371,
140,10,30,100,150000,188232,-38232,20,-1911,
60,10,40,10,150000,63768,86232,13,6633,
70,10,40,20,150000,74628,75372,13,5797,
80,10,40,30,150000,75780,74220,12,6185,
90,10,40,40,150000,99528,50472,15,3364,
100,10,40,50,150000,86724,63276,12,5273,
110,10,40,60,150000,124293,25707,15,1713,
120,10,40,70,150000,133812,16188,15,1079,
130,10,40,80,150000,139140,10860,15,724,
140,10,40,90,150000,152304,-2304,15,-153,
150,10,40,100,150000,168708,-18708,16,-1169,
70,10,50,10,150000,70354,79646,12,6637,
80,10,50,20,150000,90080,59920,14,4280,
90,10,50,30,150000,102165,47835,14,3416,
100,10,50,40,150000,96976,53024,12,4418,
110,10,50,50,150000,94259,55741,11,5067,
120,10,50,60,150000,116644,33356,13,2565,
130,10,50,70,150000,136159,13841,14,988,
140,10,50,80,150000,117450,32550,11,2959,
150,10,50,90,150000,116494,33506,10,3350,
160,10,50,100,150000,141344,8656,12,721,
80,10,60,10,150000,61982,88018,9,9779,
90,10,60,20,150000,52207,97793,7,13970,
100,10,60,30,150000,77960,72040,9,8004,
110,10,60,40,150000,87849,62151,10,6215,
120,10,60,50,150000,81696,68304,8,8538,
130,10,60,60,150000,110887,39113,11,3555,
140,10,60,70,150000,118144,31856,11,2896,
150,10,60,80,150000,138710,11290,12,940,
160,10,60,90,150000,141056,8944,12,745,
170,10,60,100,150000,135054,14946,11,1358,
90,10,70,10,150000,60528,89472,7,12781,
100,10,70,20,150000,70056,79944,8,9993,
110,10,70,30,150000,84870,65130,9,7236,
120,10,70,40,150000,81936,68064,8,8508,
130,10,70,50,150000,112965,37035,11,3366,
140,10,70,60,150000,113832,36168,10,3616,
150,10,70,70,150000,110010,39990,9,4443,
160,10,70,80,150000,100140,49860,8,6232,
170,10,70,90,150000,129276,20724,10,2072,
180,10,70,100,150000,101640,48360,7,6908,
100,10,80,10,150000,42900,107100,4,26775,
110,10,80,20,150000,85493,64507,9,7167,
120,10,80,30,150000,73350,76650,7,10950,
130,10,80,40,150000,68688,81312,6,13552,
140,10,80,50,150000,85456,64544,7,9220,
150,10,80,60,150000,91450,58550,7,8364,
160,10,80,70,150000,84816,65184,6,10864,
170,10,80,80,150000,94575,55425,7,7917,
180,10,80,90,150000,90644,59356,6,9892,
190,10,80,100,150000,97554,52446,6,8741,
110,10,90,10,150000,63014,86986,6,14497,
120,10,90,20,150000,71812,78188,6,13031,
130,10,90,30,150000,81785,68215,7,9745,
140,10,90,40,150000,81664,68336,7,9762,
150,10,90,50,150000,92781,57219,7,8174,
160,10,90,60,150000,86272,63728,6,10621,
170,10,90,70,150000,96949,53051,7,7578,
180,10,90,80,150000,96250,53750,6,8958,
190,10,90,90,150000,97966,52034,6,8672,
200,10,90,100,150000,97584,52416,6,8736,
120,10,100,10,150000,65988,84012,6,14002,
130,10,100,20,150000,54777,95223,4,23805,
140,10,100,30,150000,81960,68040,6,11340,
150,10,100,40,150000,79947,70053,6,11675,
160,10,100,50,150000,85668,64332,6,10722,
170,10,100,60,150000,90666,59334,6,9889,
180,10,100,70,150000,95832,54168,6,9028,
190,10,100,80,150000,102750,47250,6,7875,
200,10,100,90,150000,99528,50472,6,8412,
210,10,100,100,150000,108702,41298,6,6883,
50,20,20,10,150000,93510,56490,31,1822,
60,20,20,20,150000,121788,28212,33,854,
70,20,20,30,150000,149331,669,35,19,
80,20,20,40,150000,144072,5928,30,197,
90,20,20,50,150000,155439,-5439,28,-194,
100,20,20,60,150000,165780,-15780,27,-584,
110,20,20,70,150000,200277,-50277,30,-1675,
120,20,20,80,150000,220176,-70176,30,-2339,
130,20,20,90,150000,250380,-100380,32,-3136,
140,20,20,100,150000,249606,-99606,29,-3434,
60,20,30,10,150000,74920,75080,18,4171,
70,20,30,20,150000,72013,77987,15,5199,
80,20,30,30,150000,100698,49302,19,2594,
90,20,30,40,150000,119915,30085,20,1504,
100,20,30,50,150000,108384,41616,16,2601,
110,20,30,60,150000,142800,7200,20,360,
120,20,30,70,150000,135166,14834,17,872,
130,20,30,80,150000,147477,2523,17,148,
140,20,30,90,150000,165528,-15528,18,-862,
150,20,30,100,150000,207552,-57552,22,-2616,
70,20,40,10,150000,58900,91100,11,8281,
80,20,40,20,150000,94724,55276,16,3454,
90,20,40,30,150000,87761,62239,14,4445,
100,20,40,40,150000,120190,29810,17,1753,
110,20,40,50,150000,105228,44772,14,3198,
120,20,40,60,150000,131640,18360,16,1147,
130,20,40,70,150000,136912,13088,15,872,
140,20,40,80,150000,116426,33574,12,2797,
150,20,40,90,150000,140336,9664,14,690,
160,20,40,100,150000,151268,-1268,14,-90,
80,20,50,10,150000,77880,72120,12,6010,
90,20,50,20,150000,67716,82284,10,8228,
100,20,50,30,150000,84672,65328,11,5938,
110,20,50,40,150000,99333,50667,12,4222,
120,20,50,50,150000,103404,46596,12,3883,
130,20,50,60,150000,112050,37950,12,3162,
140,20,50,70,150000,92208,57792,9,6421,
150,20,50,80,150000,143106,6894,14,492,
160,20,50,90,150000,136890,13110,12,1092,
170,20,50,100,150000,103455,46545,9,5171,
90,20,60,10,150000,57225,92775,8,11596,
100,20,60,20,150000,71364,78636,9,8737,
110,20,60,30,150000,80934,69066,9,7674,
120,20,60,40,150000,67760,82240,7,11748,
130,20,60,50,150000,101003,48997,10,4899,
140,20,60,60,150000,116800,33200,11,3018,
150,20,60,70,150000,121900,28100,11,2554,
160,20,60,80,150000,117992,32008,10,3200,
170,20,60,90,150000,138709,11291,11,1026,
180,20,60,100,150000,141918,8082,11,734,
100,20,70,10,150000,74720,75280,9,8364,
110,20,70,20,150000,61146,88854,7,12693,
120,20,70,30,150000,80730,69270,8,8658,
130,20,70,40,150000,108241,41759,11,3796,
140,20,70,50,150000,82576,67424,7,9632,
150,20,70,60,150000,96690,53310,8,6663,
160,20,70,70,150000,79576,70424,6,11737,
170,20,70,80,150000,125599,24401,10,2440,
180,20,70,90,150000,91776,58224,7,8317,
190,20,70,100,150000,93733,56267,6,9377,
110,20,80,10,150000,69390,80610,7,11515,
120,20,80,20,150000,73920,76080,7,10868,
130,20,80,30,150000,62832,87168,6,14528,
140,20,80,40,150000,66798,83202,6,13867,
150,20,80,50,150000,90402,59598,7,8514,
160,20,80,60,150000,80100,69900,6,11650,
170,20,80,70,150000,94563,55437,7,7919,
180,20,80,80,150000,104742,45258,7,6465,
190,20,80,90,150000,111297,38703,8,4837,
200,20,80,100,150000,98424,51576,6,8596,
120,20,90,10,150000,63000,87000,6,14500,
130,20,90,20,150000,70490,79510,6,13251,
140,20,90,30,150000,76328,73672,6,12278,
150,20,90,40,150000,88264,61736,7,8819,
160,20,90,50,150000,82646,67354,6,11225,
170,20,90,60,150000,85020,64980,6,10830,
180,20,90,70,150000,88944,61056,6,10176,
190,20,90,80,150000,102879,47121,7,6731,
200,20,90,90,150000,99604,50396,6,8399,
210,20,90,100,150000,108955,41045,7,5863,
130,20,100,10,150000,81675,68325,7,9760,
140,20,100,20,150000,76096,73904,6,12317,
150,20,100,30,150000,83936,66064,6,11010,
160,20,100,40,150000,79744,70256,6,11709,
170,20,100,50,150000,90852,59148,6,9858,
180,20,100,60,150000,91280,58720,6,9786,
190,20,100,70,150000,94754,55246,6,9207,
200,20,100,80,150000,103132,46868,6,7811,
210,20,100,90,150000,102226,47774,6,7962,
220,20,100,100,150000,119228,30772,7,4396,
60,30,20,10,150000,101856,48144,31,1553,
70,30,20,20,150000,133532,16468,35,470,
80,30,20,30,150000,129272,20728,29,714,
90,30,20,40,150000,145325,4675,29,161,
100,30,20,50,150000,171052,-21052,30,-701,
110,30,20,60,150000,168547,-18547,27,-686,
120,30,20,70,150000,207060,-57060,30,-1902,
130,30,20,80,150000,235653,-85653,31,-2763,
140,30,20,90,150000,280680,-130680,35,-3733,
150,30,20,100,150000,257226,-107226,29,-3697,
70,30,30,10,150000,84084,65916,20,3295,
80,30,30,20,150000,100944,49056,21,2336,
90,30,30,30,150000,98604,51396,18,2855,
100,30,30,40,150000,111900,38100,18,2116,
110,30,30,50,150000,128964,21036,19,1107,
120,30,30,60,150000,137844,12156,19,639,
130,30,30,70,150000,140166,9834,17,578,
140,30,30,80,150000,174804,-24804,20,-1240,
150,30,30,90,150000,171360,-21360,19,-1124,
160,30,30,100,150000,195216,-45216,20,-2260,
80,30,40,10,150000,70356,79644,13,6126,
90,30,40,20,150000,90219,59781,15,3985,
100,30,40,30,150000,103168,46832,16,2927,
110,30,40,40,150000,92820,57180,13,4398,
120,30,40,50,150000,108680,41320,14,2951,
130,30,40,60,150000,88683,61317,10,6131,
140,30,40,70,150000,120868,29132,13,2240,
150,30,40,80,150000,150776,-776,16,-48,
160,30,40,90,150000,144300,5700,14,407,
170,30,40,100,150000,168275,-18275,15,-1218,
90,30,50,10,150000,80321,69679,12,5806,
100,30,50,20,150000,63138,86862,9,9651,
110,30,50,30,150000,84619,65381,11,5943,
120,30,50,40,150000,103160,46840,12,3903,
130,30,50,50,150000,107070,42930,12,3577,
140,30,50,60,150000,103592,46408,11,4218,
150,30,50,70,150000,121079,28921,12,2410,
160,30,50,80,150000,146120,3880,14,277,
170,30,50,90,150000,141790,8210,12,684,
180,30,50,100,150000,145986,4014,12,334,
100,30,60,10,150000,80388,69612,11,6328,
110,30,60,20,150000,92196,57804,11,5254,
120,30,60,30,150000,70392,79608,8,9951,
130,30,60,40,150000,114120,35880,12,2990,
140,30,60,50,150000,108192,41808,11,3800,
150,30,60,60,150000,92973,57027,9,6336,
160,30,60,70,150000,94608,55392,8,6924,
170,30,60,80,150000,123690,26310,10,2631,
180,30,60,90,150000,124680,25320,10,2532,
190,30,60,100,150000,152838,-2838,12,-236,
110,30,70,10,150000,58507,91493,7,13070,
120,30,70,20,150000,73436,76564,8,9570,
130,30,70,30,150000,67351,82649,7,11807,
140,30,70,40,150000,86350,63650,8,7956,
150,30,70,50,150000,97732,52268,9,5807,
160,30,70,60,150000,83328,66672,7,9524,
170,30,70,70,150000,122720,27280,10,2728,
180,30,70,80,150000,106144,43856,8,5482,
190,30,70,90,150000,114725,35275,8,4409,
200,30,70,100,150000,107848,42152,7,6021,
120,30,80,10,150000,79764,70236,8,8779,
130,30,80,20,150000,84084,65916,8,8239,
140,30,80,30,150000,72280,77720,6,12953,
150,30,80,40,150000,74525,75475,6,12579,
160,30,80,50,150000,119944,30056,10,3005,
170,30,80,60,150000,119377,30623,9,3402,
180,30,80,70,150000,89024,60976,6,10162,
190,30,80,80,150000,110885,39115,8,4889,
200,30,80,90,150000,89390,60610,6,10101,
210,30,80,100,150000,99134,50866,6,8477,
130,30,90,10,150000,63342,86658,6,14443,
140,30,90,20,150000,81594,68406,7,9772,
150,30,90,30,150000,75069,74931,6,12488,
160,30,90,40,150000,81840,68160,6,11360,
170,30,90,50,150000,82908,67092,6,11182,
180,30,90,60,150000,86460,63540,6,10590,
190,30,90,70,150000,93564,56436,6,9406,
200,30,90,80,150000,95616,54384,6,9064,
210,30,90,90,150000,98850,51150,6,8525,
220,30,90,100,150000,104052,45948,6,7658,
140,30,100,10,150000,71008,78992,6,13165,
150,30,100,20,150000,78352,71648,6,11941,
160,30,100,30,150000,81778,68222,6,11370,
170,30,100,40,150000,87165,62835,6,10472,
180,30,100,50,150000,93092,56908,6,9484,
190,30,100,60,150000,89460,60540,6,10090,
200,30,100,70,150000,96866,53134,6,8855,
210,30,100,80,150000,105336,44664,6,7444,
220,30,100,90,150000,107760,42240,6,7040,
230,30,100,100,150000,109228,40772,6,6795,
70,40,20,10,150000,123981,26019,36,722,
80,40,20,20,150000,123100,26900,30,896,
90,40,20,30,150000,118703,31297,25,1251,
100,40,20,40,150000,150592,-592,28,-21,
110,40,20,50,150000,154309,-4309,26,-165,
120,40,20,60,150000,182304,-32304,28,-1153,
130,40,20,70,150000,222110,-72110,31,-2326,
140,40,20,80,150000,260642,-110642,34,-3254,
150,40,20,90,150000,264778,-114778,32,-3586,
160,40,20,100,150000,333168,-183168,37,-4950,
80,40,30,10,150000,90486,59514,20,2975,
90,40,30,20,150000,104325,45675,20,2283,
100,40,30,30,150000,84112,65888,15,4392,
110,40,30,40,150000,131254,18746,21,892,
120,40,30,50,150000,138448,11552,20,577,
130,40,30,60,150000,146779,3221,19,169,
140,40,30,70,150000,157240,-7240,19,-381,
150,40,30,80,150000,167184,-17184,19,-904,
160,40,30,90,150000,179722,-29722,19,-1564,
170,40,30,100,150000,207515,-57515,21,-2738,
90,40,40,10,150000,93204,56796,17,3340,
100,40,40,20,150000,98310,51690,16,3230,
110,40,40,30,150000,80157,69843,12,5820,
120,40,40,40,150000,99216,50784,13,3906,
130,40,40,50,150000,118170,31830,15,2122,
140,40,40,60,150000,130032,19968,15,1331,
150,40,40,70,150000,134190,15810,14,1129,
160,40,40,80,150000,156480,-6480,16,-405,
170,40,40,90,150000,173961,-23961,17,-1409,
180,40,40,100,150000,173988,-23988,16,-1499,
100,40,50,10,150000,84608,65392,13,5030,
110,40,50,20,150000,89845,60155,12,5012,
120,40,50,30,150000,80370,69630,10,6963,
130,40,50,40,150000,115415,34585,14,2470,
140,40,50,50,150000,113124,36876,12,3073,
150,40,50,60,150000,118111,31889,12,2657,
160,40,50,70,150000,136400,13600,13,1046,
170,40,50,80,150000,123437,26563,11,2414,
180,40,50,90,150000,117152,32848,10,3284,
190,40,50,100,150000,149270,730,12,60,
110,40,60,10,150000,77256,72744,10,7274,
120,40,60,20,150000,83680,66320,10,6632,
130,40,60,30,150000,86774,63226,10,6322,
140,40,60,40,150000,96370,53630,10,5363,
150,40,60,50,150000,114219,35781,11,3252,
160,40,60,60,150000,110344,39656,10,3965,
170,40,60,70,150000,122430,27570,11,2506,
180,40,60,80,150000,133632,16368,11,1488,
190,40,60,90,150000,149938,62,12,5,
